13, Pork Chops & Freekeh Salad, 'with Brussels Sprouts & Clementine Chutney',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-01-01,,7,1,30,35,https://media.blueapron.com/recipes/2020/square_newsletter_images/1478808801-4-5222/121216_2PM_PorkChopswithFreekahSalad-3391_SQ.jpg?quality=80&width=850
14, Seared Chicken & Pearl Couscous, 'With Crispy Capers & Blood Orange Souce',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-03-03,,51,1,0,40,https://media.blueapron.com/recipes/2131/square_newsletter_images/1486756671-4-0003-1796/220-2PP-Seared-Chicken-Crispy-Capers-19997_x1b_WEB_SQ.jpg?quality=80&width=850
15, Spicy Butternut Squash Empanadas, 'With Green Tomato Salsa & Lime Crema',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-10-10,,19,1,55,20,https://media.blueapron.com/recipes/1859/square_newsletter_images/1473297229-4-9647/101016_V2_ButternutSquashEmpenadas0687_SQ.jpg?quality=80&width=850
16, Curried Catfish & Coconut Rice, 'With Green Beans & Golden Raisin Chutney',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-08-08,,44,1,0,30,https://media.blueapron.com/recipes/1765/square_newsletter_images/1468006980-4-4201/080816_2PF_CrispyCurryCatfish-5329_SQ.jpg?quality=80&width=850
17, Brown Butter Cod," 'With Corn,  Shishito Peppers & Purple Potatoes'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,7,1,55,45,https://media.blueapron.com/recipes/1751/square_newsletter_images/1467322979-4-8882/080116_2PF_CodRoastedCorn-4521_SQ.jpg?quality=80&width=850
18, Seared Pork Chops & Plum Salsa, 'With Corn,1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,30,1,5,30,https://media.blueapron.com/recipes/1759/square_newsletter_images/1469550840-4-7776/080116_2PM_SearedPorkChops-4837_SQ_v2.jpg?quality=80&width=850
19, Grilled Brie Cheese & Strawberry Jam Sandwiches, 'With Arugula & Walnut Salad',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-05-05,,53,1,10,5,https://media.blueapron.com/recipes/1648/square_newsletter_images/1460744683-4-7049/2P_040516_2_GrilledBrieCheeseSandwiche-6182_SQ.jpg?quality=80&width=850
20, Mushroom & Goat Cheese Quiches, 'With Arugula Salad & Pink Lemon Vinaigrette',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-03-03,,25,1,10,50,https://media.blueapron.com/recipes/2174/square_newsletter_images/1488843839-4-0024-7468/313_2PV2_Mushroom_Quiches_37106_WEB_SQ.jpg?quality=80&width=850
21, Spring Chicken Fettuccine," 'With Sauteed Asparagus, Kale & Rosemary'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,13,1,5,30,https://media.blueapron.com/recipes/1609/square_newsletter_images/20160401-1911-4-3822/2P_032216_2_ChickenFettucine_20-_207416_20-_20SQ.jpg?quality=80&width=850
22, Zucchini & Parmesan Quiches, 'With Red Leaf Lettuce Salad & Pink Lemon Vinagrette',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-05-05,,15,1,40,35,https://media.blueapron.com/recipes/1602/square_newsletter_images/1460750989-4-2395/2P_R_041216_1_ZucchiniGruyereQuiches-6581_SQ.jpg?quality=80&width=850
23, Sumac-Spiced Salmon & Labneh," 'With Freekeh, Kale & Almond Salad'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,25,1,50,15,https://media.blueapron.com/recipes/1544/square_newsletter_images/20160218-1953-4-2732/2P_021016_1_SumacSpicedSalmon_20-_203386_SQ.jpg?quality=80&width=850
24, Alsatian Spiced Chicken, 'With Smashed Potatoes & Glazed Red Cabbage',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-04-04,,50,1,0,10,https://media.blueapron.com/recipes/1509/square_newsletter_images/20160129-1943-3-5039/2P_012016_4_AlsationSpicedChicken_20-_201633_20SQ.jpg?quality=80&width=850
25, Mushroom & Collard Green Calzones, 'With Fresh Mozzarella & Tomato Dipping Sauce',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-04-04,,50,1,20,5,https://media.blueapron.com/recipes/1554/square_newsletter_images/20160311-1939-4-7590/2P_020916_3_MushroomSwissChardCalzone---3244_SQ-web.jpg?quality=80&width=850
26, English Pea & Goat Cheese Quiches, 'With Pea Shoot & Shaved Parmesan Salad',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-04-04,,17,1,0,10,https://media.blueapron.com/recipes/1549/square_newsletter_images/20160218-2003-4-0021/2P_020916_2_EnglishPeaGoatCheeseQuiche_20-_203190_SQ.jpg?quality=80&width=850
27, Steaks Au Poivre, 'With Crispy Fingerling Potatoes & Sauteed Kale',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-04-04,,7,1,15,45,https://media.blueapron.com/recipes/1514/square_newsletter_images/20160128-2254-3-3533/2P_011916_3_SteakAuPoivre_20-_201517_20SQ.jpg?quality=80&width=850
28, Seared Salmon & Spinach-Walnut Pesto, 'With Purple Potato & Red Onion Hash',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-03-03,,51,1,0,30,https://media.blueapron.com/recipes/1526/square_newsletter_images/20160206-0021-3-4127/2P_012616_2_SearedSalmonRoastedPurplePotatoes_20-_201821_SQ.jpg?quality=80&width=850
29, Trinidadian Chicken Curry, 'With Coconut Grits & Collard Greens',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-03-03,,29,1,10,0,https://media.blueapron.com/recipes/1524/square_newsletter_images/20160122-1646-3-9213/2P_010516_4_TriniWestIndianRoti_20-_201098_20SQ.jpg?quality=80&width=850
30, Spicy Shrimp Spaghetti, 'With Cabbage & Toasted Breadcrumbs',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-03-03,,11,1,25,35,https://media.blueapron.com/recipes/1523/square_newsletter_images/20160122-1650-3-9793/2P_010516_1_SpicyShrimpPasta_20-_201058_20SQ.jpg?quality=80&width=850
31, Fresh Beet Linguine," 'With Goat Cheese, Swiss Chard & Toasted Walnuts'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,12,1,5,40,https://media.blueapron.com/recipes/1489/square_newsletter_images/20160106-2301-77-7751/02082016_2PV1_20Beet_20Pasta_20with_20Greens__20Goat_20Cheese__20Fennel_20__20Walnuts-0791.jpg?quality=80&width=850
32, Shiitake Mushroom & Cabbage Dumplings, 'With Garlic-Roasted Tatsoi',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-02-02,,31,1,5,0,https://media.blueapron.com/recipes/1490/square_newsletter_images/20160201-1814-3-7969/02082016_2PV2_20Mushroom_20__20Cabbage_20Dumplings_20with_20Sauteed_20Garlic_20Tatsoi-0776_EDIT_SQ.jpg?quality=80&width=850
33, Shrimp & Pineapple Fried Rice, 'With Toasted Cashews & Sambal Oelek',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-02-02,,50,1,45,30,https://media.blueapron.com/recipes/583/square_newsletter_images/20160118-1600-95-3134/R_011316_3_PineappleFriedRice_20-_201371_20SQ.jpg?quality=80&width=850
34, Chicken Meatballs & Creamy Polenta, 'With Tomato Sugo $ Lacinato Kale',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-01-01,,45,1,25,50,https://media.blueapron.com/recipes/1474/square_newsletter_images/20151216-1824-36-0483/2P_120715_2_ChickenMeatballs_20-_200144_20SQ.jpg?quality=80&width=850
35, Roast Pork, 'With Sauteed Spinach & Olive Smashed Potatoes',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-01-01,,3,1,40,40,https://media.blueapron.com/recipes/1178/square_newsletter_images/20160111-1845-31-3479/R_120815_5_SearedPorkSmashedPotatoes_20-_201252_20SQ.jpg?quality=80&width=850
36, Smoky Seared Cod, 'With Roasted Potatoes & Dates',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-03-03,,43,1,40,20,https://media.blueapron.com/recipes/2194/square_newsletter_images/1486752672-4-0004-1037/313-2PF-Smoky-Seared-Cod-26766_20copy_WEB_SQ.jpg?quality=80&width=850
37, Seared Salmon & Lemon Labneh," 'With Freekeh, Kale & Dates'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,34,1,15,45,https://media.blueapron.com/recipes/2210/square_newsletter_images/1488395992-4-0003-4634/403_2PF_Salmon_Labneh_34597_WEB_SQ.jpg?quality=80&width=850
38, Spinach & Fresh Mozzarella Pizza," 'With Olives, Bell Pepper & Ricotta Salata'",1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,36,1,55,30,https://media.blueapron.com/recipes/2211/square_newsletter_images/1488398923-4-0003-0078/403_2PV1_Spinach_Mozzarella_Pizza_34221_WEB_SQ.jpg?quality=80&width=850
39, Penne & Arrabbiata Sauce, 'With Roasted Carrot & Tangelo Salad',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-04-04,,39,1,5,15,https://media.blueapron.com/recipes/2173/square_newsletter_images/1488843878-4-0027-5511/313_2PV1_Penne_Pasta_37509_WEB_SQ.jpg?quality=80&width=850
40, Chicken Under A Brick, 'With Roasted Vegetables & Italian Dressing',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-04-04,,49,1,0,0,https://media.blueapron.com/recipes/2207/square_newsletter_images/1488397153-4-0003-7300/403_2PP_Brick_Style_Chicken_34725_WEB_SQ.jpg?quality=80&width=850
41, Spanish-Style Potato & Chickpea Stew, 'With Swiss Chard & Aioli',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-04-04,,4,1,55,15,https://media.blueapron.com/recipes/2223/square_newsletter_images/1489179624-4-0003-6122/410_2PV1_Spanish_Chickpea_Stew_35837_WEB_SQ.jpg?quality=80&width=850
42, Spaghetti Bolognese, 'With Butter Lettuce Salad & Creamy Italian Dressing',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-04-04,,37,1,15,0,https://media.blueapron.com/recipes/2220/square_newsletter_images/1491247090-4-0017-8259/410_2PM_Spaghetti_Bolognese_WEBSQ.jpg?quality=80&width=850
43, Zaatar-Spiced Chicken, 'With Pink Lemon Pan Sauce & Pearl Couscous',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-04-04,,42,1,10,15,https://media.blueapron.com/recipes/2218/square_newsletter_images/1491247013-4-0011-3221/410_2PP_Zaatar_Chicken_WEBSQ.jpg?quality=80&width=850
