id,name,description,image_url,kcals_per_serving
31,"'ALCOHOLIC BEV,BEER,REG,BUDWEISER'","'ALCOHOLIC BEV,BEER,REG,BUDWEISER'",,41
32,"'ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF'","'ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF'",,371
33,"'ALCOHOLIC BEV,DAIQUIRI,CND'","'ALCOHOLIC BEV,DAIQUIRI,CND'",,125
34,"'ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE'","'ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE'",,186
35,"'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF'","'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF'",,231
36,"'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF'","'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF'",,250
37,"'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF'","'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF'",,263
38,"'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF'","'ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF'",,275
39,"'ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF'","'ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF'",,295
40,"'ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF'","'ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF'",,263
41,"'ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF'","'ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF'",,231
42,"'ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF'","'ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF'",,231
43,"'ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF'","'ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF'",,250
44,"'ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF'","'ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF'",,327
45,"'ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF'","'ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF'",,336
46,"'ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF'","'ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF'",,308
47,"'ALCOHOLIC BEV,PINA COLADA,CND'","'ALCOHOLIC BEV,PINA COLADA,CND'",,237
48,"'ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE'","'ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE'",,174
49,"'ALCOHOLIC BEV,RICE (SAKE)'","'ALCOHOLIC BEV,RICE (SAKE)'",,134
50,"'ALCOHOLIC BEV,TEQUILA SUNRISE,CND'","'ALCOHOLIC BEV,TEQUILA SUNRISE,CND'",,110
51,"'ALCOHOLIC BEV,WHISKEY SOUR,CND'","'ALCOHOLIC BEV,WHISKEY SOUR,CND'",,119
52,"'ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028'","'ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028'",,153
53,"'ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX'","'ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX'",,164
54,"'ALCOHOLIC BEV,WINE,COOKING'","'ALCOHOLIC BEV,WINE,COOKING'",,50
55,"'ALCOHOLIC BEV,WINE,DSSRT,DRY'","'ALCOHOLIC BEV,WINE,DSSRT,DRY'",,152
56,"'ALCOHOLIC BEV,WINE,DSSRT,SWT'","'ALCOHOLIC BEV,WINE,DSSRT,SWT'",,160
57,"'ALCOHOLIC BEV,WINE,LT'","'ALCOHOLIC BEV,WINE,LT'",,49
58,"'ALCOHOLIC BEV,WINE,TABLE,ALL'","'ALCOHOLIC BEV,WINE,TABLE,ALL'",,83
59,"'ALCOHOLIC BEV,WINE,TABLE,RED'","'ALCOHOLIC BEV,WINE,TABLE,RED'",,85
60,"'ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA'","'ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA'",,85
61,"'ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY'","'ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY'",,86
62,"'ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC'","'ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC'",,83
63,"'ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON'","'ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON'",,83
64,"'ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE'","'ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE'",,74
65,"'ALCOHOLIC BEV,WINE,TABLE,RED,CLARET'","'ALCOHOLIC BEV,WINE,TABLE,RED,CLARET'",,83
66,"'ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY'","'ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY'",,78
67,"'ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER'","'ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER'",,80
68,"'ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT'","'ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT'",,83
69,"'ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE'","'ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE'",,88
70,"'ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH'","'ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH'",,85
71,"'ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR'","'ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR'",,82
72,"'ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE'","'ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE'",,86
73,"'ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH'","'ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH'",,83
74,"'ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL'","'ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL'",,88
75,"'ALCOHOLIC BEV,WINE,TABLE,WHITE'","'ALCOHOLIC BEV,WINE,TABLE,WHITE'",,82
76,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY'",,84
77,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC'",,80
78,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC'",,82
79,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER'",,81
80,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST'",,112
81,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER'",,108
82,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU'",,76
83,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT'",,82
84,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC'",,81
85,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)'",,83
86,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING'",,80
87,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC'",,81
88,"'ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON'","'ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON'",,82
89,"'ALFALFA SEEDS,SPROUTED,RAW'","'ALFALFA SEEDS,SPROUTED,RAW'",,23
90,"'ALLSPICE,GROUND'","'ALLSPICE,GROUND'",,263
91,"'ALMOND BUTTER,PLN,W/SALT'","'ALMOND BUTTER,PLN,W/SALT'",,614
92,"'ALMOND BUTTER,PLN,WO/SALT'","'ALMOND BUTTER,PLN,WO/SALT'",,614
93,'ALMOND PASTE','ALMOND PASTE',,458
94,'ALMONDS','ALMONDS',,579
95,"'ALMONDS,BLANCHED'","'ALMONDS,BLANCHED'",,590
96,"'ALMONDS,DRY RSTD,W/SALT'","'ALMONDS,DRY RSTD,W/SALT'",,598
97,"'ALMONDS,DRY RSTD,WO/SALT'","'ALMONDS,DRY RSTD,WO/SALT'",,598
98,"'ALMONDS,HONEY RSTD,UNBLANCHED'","'ALMONDS,HONEY RSTD,UNBLANCHED'",,594
99,"'ALMONDS,OIL RSTD,W/SALT'","'ALMONDS,OIL RSTD,W/SALT'",,607
100,"'ALMONDS,OIL RSTD,WO/SALT'","'ALMONDS,OIL RSTD,WO/SALT'",,607
101,"'AMARANTH GRAIN,CKD'","'AMARANTH GRAIN,CKD'",,102
102,"'AMARANTH GRAIN,UNCKD'","'AMARANTH GRAIN,UNCKD'",,371
103,"'AMARANTH LEAVES,CKD,BLD,DRND,W/SALT'","'AMARANTH LEAVES,CKD,BLD,DRND,W/SALT'",,21
104,"'AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT'","'AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT'",,21
105,"'AMARANTH LEAVES,RAW'","'AMARANTH LEAVES,RAW'",,23
106,"'ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL'","'ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL'",,210
107,"'ANCHOVY,EUROPEAN,RAW'","'ANCHOVY,EUROPEAN,RAW'",,131
108,"'ANIMAL FAT,BACON GREASE'","'ANIMAL FAT,BACON GREASE'",,897
109,'ANISE SEED','ANISE SEED',,337
110,"'APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C'","'APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C'",,46
111,"'APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K'","'APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K'",,48
112,"'APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C'","'APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C'",,46
113,"'APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C'","'APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C'",,47
114,"'APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C'","'APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C'",,47
115,"'APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C'","'APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C'",,166
116,"'APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C'","'APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C'",,166
117,"'APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK'","'APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK'",,189
118,"'APPLEBEE'S,CHICK TENDERS PLATTER'","'APPLEBEE'S,CHICK TENDERS PLATTER'",,297
119,"'APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU'","'APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU'",,296
120,"'APPLEBEE'S,CHILI'","'APPLEBEE'S,CHILI'",,157
121,"'APPLEBEE'S,COLESLAW'","'APPLEBEE'S,COLESLAW'",,120
122,"'APPLEBEE'S,CRUNCHY ONION RINGS'","'APPLEBEE'S,CRUNCHY ONION RINGS'",,356
123,"'APPLEBEE'S,DOUBLE CRUNCH SHRIMP'","'APPLEBEE'S,DOUBLE CRUNCH SHRIMP'",,323
124,"'APPLEBEE'S,FISH,HAND BATTERED'","'APPLEBEE'S,FISH,HAND BATTERED'",,202
125,"'APPLEBEE'S,FRENCH FR'","'APPLEBEE'S,FRENCH FR'",,290
126,"'APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU'","'APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU'",,143
127,"'APPLEBEE'S,MOZZARELLA STKS'","'APPLEBEE'S,MOZZARELLA STKS'",,316
128,"'APPLES,CND,SWTND,SLICED,DRND,HTD'","'APPLES,CND,SWTND,SLICED,DRND,HTD'",,67
129,"'APPLES,CND,SWTND,SLICED,DRND,UNHTD'","'APPLES,CND,SWTND,SLICED,DRND,UNHTD'",,67
130,"'APPLES,DEHYD (LO MOIST),SULFURED,STWD'","'APPLES,DEHYD (LO MOIST),SULFURED,STWD'",,74
131,"'APPLES,DEHYD (LO MOIST),SULFURED,UNCKD'","'APPLES,DEHYD (LO MOIST),SULFURED,UNCKD'",,346
132,"'APPLES,DRIED,SULFURED,STWD,W/ SUGAR'","'APPLES,DRIED,SULFURED,STWD,W/ SUGAR'",,83
133,"'APPLES,DRIED,SULFURED,STWD,WO/ SUGAR'","'APPLES,DRIED,SULFURED,STWD,WO/ SUGAR'",,57
134,"'APPLES,DRIED,SULFURED,UNCKD'","'APPLES,DRIED,SULFURED,UNCKD'",,243
135,"'APPLES,FRZ,UNSWTND,HTD'","'APPLES,FRZ,UNSWTND,HTD'",,47
136,"'APPLES,FRZ,UNSWTND,UNHTD'","'APPLES,FRZ,UNSWTND,UNHTD'",,48
137,"'APPLES,RAW,FUJI,W/ SKN'","'APPLES,RAW,FUJI,W/ SKN'",,63
138,"'APPLES,RAW,GALA,W/ SKN'","'APPLES,RAW,GALA,W/ SKN'",,57
139,"'APPLES,RAW,GOLDEN DELICIOUS,W/ SKN'","'APPLES,RAW,GOLDEN DELICIOUS,W/ SKN'",,57
140,"'APPLES,RAW,GRANNY SMITH,W/ SKN'","'APPLES,RAW,GRANNY SMITH,W/ SKN'",,58
141,"'APPLES,RAW,RED DELICIOUS,W/ SKN'","'APPLES,RAW,RED DELICIOUS,W/ SKN'",,59
142,"'APPLES,RAW,WITH SKIN'","'APPLES,RAW,WITH SKIN'",,52
143,"'APPLES,RAW,WITHOUT SKIN'","'APPLES,RAW,WITHOUT SKIN'",,48
144,"'APPLES,RAW,WO/ SKN,CKD,MICROWAVE'","'APPLES,RAW,WO/ SKN,CKD,MICROWAVE'",,56
145,"'APPLES,RAW,WO/SKN,CKD,BLD'","'APPLES,RAW,WO/SKN,CKD,BLD'",,53
146,"'APPLESAUCE,CND,SWTND,W/SALT'","'APPLESAUCE,CND,SWTND,W/SALT'",,76
147,"'APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)'","'APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)'",,68
148,"'APPLESAUCE,CND,UNSWTND,W/ VIT C'","'APPLESAUCE,CND,UNSWTND,W/ VIT C'",,42
149,"'APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)'","'APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)'",,42
150,"'APRICOT NECTAR,CND,W/ VIT C'","'APRICOT NECTAR,CND,W/ VIT C'",,56
151,"'APRICOT NECTAR,CND,WO/ VIT C'","'APRICOT NECTAR,CND,WO/ VIT C'",,56
152,"'APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS'","'APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS'",,96
153,"'APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS'","'APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS'",,49
154,"'APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS'","'APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS'",,27
155,"'APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS'","'APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS'",,22
156,"'APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS'","'APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS'",,83
157,"'APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS'","'APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS'",,83
158,"'APRICOTS,CND,HVY SYRUP,DRND'","'APRICOTS,CND,HVY SYRUP,DRND'",,83
159,"'APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS'","'APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS'",,48
160,"'APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS'","'APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS'",,63
161,"'APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD'","'APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD'",,126
162,"'APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD'","'APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD'",,320
163,"'APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR'","'APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR'",,113
164,"'APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR'","'APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR'",,85
165,"'APRICOTS,DRIED,SULFURED,UNCKD'","'APRICOTS,DRIED,SULFURED,UNCKD'",,241
166,"'APRICOTS,FROZEN,SWEETENED'","'APRICOTS,FROZEN,SWEETENED'",,98
167,"'APRICOTS,RAW'","'APRICOTS,RAW'",,48
168,"'ARCHWAY Home Style Cookies, Chocolate Chip Ice Box'","'ARCHWAY Home Style Cookies, Chocolate Chip Ice Box'",,497
169,"'ARCHWAY Home Style Cookies, Coconut Macaroon'","'ARCHWAY Home Style Cookies, Coconut Macaroon'",,460
170,"'ARCHWAY Home Style Cookies, Date Filled Oatmeal'","'ARCHWAY Home Style Cookies, Date Filled Oatmeal'",,400
171,"'ARCHWAY Home Style Cookies, Dutch Cocoa'","'ARCHWAY Home Style Cookies, Dutch Cocoa'",,431
172,"'ARCHWAY Home Style Cookies, Iced Molasses'","'ARCHWAY Home Style Cookies, Iced Molasses'",,420
173,"'ARCHWAY Home Style Cookies, Iced Oatmeal'","'ARCHWAY Home Style Cookies, Iced Oatmeal'",,435
174,"'ARCHWAY Home Style Cookies, Molasses'","'ARCHWAY Home Style Cookies, Molasses'",,403
175,"'ARCHWAY Home Style Cookies, Oatmeal'","'ARCHWAY Home Style Cookies, Oatmeal'",,421
176,"'ARCHWAY Home Style Cookies, Oatmeal Raisin'","'ARCHWAY Home Style Cookies, Oatmeal Raisin'",,406
177,"'ARCHWAY Home Style Cookies, Old Fashioned Molasses'","'ARCHWAY Home Style Cookies, Old Fashioned Molasses'",,406
178,"'ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies'","'ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies'",,468
179,"'ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps'","'ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps'",,424
180,"'ARCHWAY Home Style Cookies, Strawberry Filled'","'ARCHWAY Home Style Cookies, Strawberry Filled'",,400
181,"'ARCHWAY HOME STYLE COOKIES,FROSTY LEMON'","'ARCHWAY HOME STYLE COOKIES,FROSTY LEMON'",,430
182,"'ARCHWAY HOME STYLE COOKIES,PNUT BUTTER'","'ARCHWAY HOME STYLE COOKIES,PNUT BUTTER'",,480
183,"'ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED'","'ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED'",,400
184,"'ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL'","'ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL'",,442
185,"'ARROWHEAD,CKD,BLD,DRND,W/SALT'","'ARROWHEAD,CKD,BLD,DRND,W/SALT'",,78
186,"'ARROWHEAD,CKD,BLD,DRND,WO/SALT'","'ARROWHEAD,CKD,BLD,DRND,WO/SALT'",,78
187,"'ARROWHEAD,RAW'","'ARROWHEAD,RAW'",,99
188,'ARROWROOT FLOUR','ARROWROOT FLOUR',,357
189,"'ARROWROOT,RAW'","'ARROWROOT,RAW'",,65
190,"'ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT'","'ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT'",,51
191,"'ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT'","'ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT'",,53
192,"'ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT'","'ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT'",,45
193,"'ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT'","'ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT'",,45
194,"'ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP'","'ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP'",,38
195,"'ARTICHOKES,(GLOBE OR FRENCH),RAW'","'ARTICHOKES,(GLOBE OR FRENCH),RAW'",,47
196,"'ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY'","'ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY'",,407
197,"'ARUGULA,RAW'","'ARUGULA,RAW'",,25
198,'ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE)','ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE)',,20
199,"'ASPARAGUS,CKD,BLD,DRND'","'ASPARAGUS,CKD,BLD,DRND'",,22
200,"'ASPARAGUS,CKD,BLD,DRND,W/SALT'","'ASPARAGUS,CKD,BLD,DRND,W/SALT'",,22
201,"'ASPARAGUS,CND,DRND SOL'","'ASPARAGUS,CND,DRND SOL'",,19
202,"'ASPARAGUS,CND,NO SALT,SOL&LIQUIDS'","'ASPARAGUS,CND,NO SALT,SOL&LIQUIDS'",,15
203,"'ASPARAGUS,CND,REG PK,SOL&LIQUIDS'","'ASPARAGUS,CND,REG PK,SOL&LIQUIDS'",,15
204,"'ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT'","'ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT'",,18
205,"'ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT'","'ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT'",,18
206,"'ASPARAGUS,FRZ,UNPREP'","'ASPARAGUS,FRZ,UNPREP'",,24
207,"'ASPARAGUS,RAW'","'ASPARAGUS,RAW'",,20
208,"'AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE'","'AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE'",,494
209,"'AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT'","'AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT'",,461
210,"'AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,SANDWICH-TYPE'","'AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,SANDWICH-TYPE'",,489
211,"'AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,SANDWICH-TYPE'","'AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,SANDWICH-TYPE'",,495
212,"'AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE'","'AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE'",,479
213,"'AUSTIN,GRILLED CHS ON WAFER CRACKERS,SANDWICH-TYPE'","'AUSTIN,GRILLED CHS ON WAFER CRACKERS,SANDWICH-TYPE'",,493
214,"'AUSTIN,PB & J CRACKERS,SANDWICH-TYPE'","'AUSTIN,PB & J CRACKERS,SANDWICH-TYPE'",,484
